section,module,file,fn,trigger,api,wired,serverBacked,auth,refetch,errorUX,loading,i18n,responsive,a11y,tableScroll
shared-component,PromotionsAdmin,src/admin/PromotionsAdmin.tsx:244,handleAdjustPointsSubmit,form submit,POST /api/promotions/loyalty/adjust,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,PromotionsAdmin,src/admin/PromotionsAdmin.tsx:276,runSimulator,button click,POST /api/promotions/validate,true,yes,PUBLIC,yes,yes,yes,yes,yes,yes,yes
system-administration,ReportsAdmin,src/admin/ReportsAdmin.tsx:101,fetchReport,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,ReportsAdmin,src/admin/ReportsAdmin.tsx:132,useEffect@132,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,ReportsAdmin,src/admin/ReportsAdmin.tsx:137,openDoc,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,ReportsAdmin,src/admin/ReportsAdmin.tsx:148,handleExportCsv,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
unrouted,ReturnsRefundsAdmin,src/admin/ReturnsRefundsAdmin.tsx:207,saveRmaList,called internally,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
unrouted,ReturnsRefundsAdmin,src/admin/ReturnsRefundsAdmin.tsx:283,handleOpenInspection,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
unrouted,ReturnsRefundsAdmin,src/admin/ReturnsRefundsAdmin.tsx:291,handleSaveInspection,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
unrouted,ReturnsRefundsAdmin,src/admin/ReturnsRefundsAdmin.tsx:321,handleOpenRefund,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
unrouted,ReturnsRefundsAdmin,src/admin/ReturnsRefundsAdmin.tsx:330,handleExecuteRefund,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
unrouted,ReturnsRefundsAdmin,src/admin/ReturnsRefundsAdmin.tsx:365,handleCreateRma,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
unrouted,ReturnsRefundsAdmin,src/admin/ReturnsRefundsAdmin.tsx:405,handleExportCsv,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,SettingsAdmin,src/admin/SettingsAdmin.tsx:10,handleSave,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
sales-operations,ShipmentsAdmin,src/admin/ShipmentsAdmin.tsx:85,handleOpenAddCourier,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,ShipmentsAdmin,src/admin/ShipmentsAdmin.tsx:103,handleOpenEditCourier,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,ShipmentsAdmin,src/admin/ShipmentsAdmin.tsx:123,handleSaveCourier,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,ShipmentsAdmin,src/admin/ShipmentsAdmin.tsx:150,handleOpenDispatchModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,ShipmentsAdmin,src/admin/ShipmentsAdmin.tsx:157,handleExecuteDispatch,form submit,POST /api/courier/book,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,ShipmentsAdmin,src/admin/ShipmentsAdmin.tsx:192,handleSimulateWebhook,form submit,POST /api/courier/webhook,true,yes,PUBLIC,yes,yes,yes,yes,yes,yes,yes
catalog-inventory,SuppliersAdmin,src/admin/SuppliersAdmin.tsx:113,loadSupplierData,button click,GET /api/suppliers,true,yes,OPEN-READ,n/a,yes,yes,yes,yes,yes,yes
catalog-inventory,SuppliersAdmin,src/admin/SuppliersAdmin.tsx:131,loadPurchaseOrders,called internally,GET /api/suppliers/purchase-orders/all,true,yes,OPEN-READ,n/a,yes,NO,yes,yes,yes,yes
catalog-inventory,SuppliersAdmin,src/admin/SuppliersAdmin.tsx:141,useEffect@141,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,SuppliersAdmin,src/admin/SuppliersAdmin.tsx:147,openSupplierDetail,button click,GET /api/suppliers/:x,true,yes,OPEN-READ,n/a,yes,yes,yes,yes,yes,yes
catalog-inventory,SuppliersAdmin,src/admin/SuppliersAdmin.tsx:168,handleCreateSupplier,form submit,POST /api/suppliers,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
catalog-inventory,SuppliersAdmin,src/admin/SuppliersAdmin.tsx:219,handleCreatePo,form submit,POST /api/suppliers/:x/purchase-orders,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
catalog-inventory,SuppliersAdmin,src/admin/SuppliersAdmin.tsx:266,handleMarkPoReceived,prop:onMarkPoReceived (child component),POST /api/suppliers/:x/pos/:x/delivery,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
catalog-inventory,SuppliersAdmin,src/admin/SuppliersAdmin.tsx:291,handleRecordPayment,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,SuppliersAdmin,src/admin/SuppliersAdmin.tsx:347,handleConfirmMfaPayment,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,SuppliersAdmin,src/admin/SuppliersAdmin.tsx:357,handleTogglePortal,button click,POST /api/suppliers/:x/toggle-portal,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,UsersAdmin,src/admin/UsersAdmin.tsx:65,loadSecurityData,button click,GET /api/security/users | GET /api/security/rate-limit/banned-ips,true,yes,STAFF,n/a,yes,yes,yes,yes,yes,yes
system-administration,UsersAdmin,src/admin/UsersAdmin.tsx:89,useEffect@89,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,UsersAdmin,src/admin/UsersAdmin.tsx:94,handleCreateStaff,form submit,POST /api/security/users/create,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,UsersAdmin,src/admin/UsersAdmin.tsx:130,handleUpdateRole,prop:onConfirm (child component),POST /api/security/users/update-role,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,UsersAdmin,src/admin/UsersAdmin.tsx:156,handleToggleStatus,button click,POST /api/security/users/update-status,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,UsersAdmin,src/admin/UsersAdmin.tsx:181,handleRevokeSession,button click,POST /api/security/sessions/revoke,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,UsersAdmin,src/admin/UsersAdmin.tsx:204,handleUnbanIp,button click,POST /api/security/rate-limit/unban,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,UsersAdmin,src/admin/UsersAdmin.tsx:227,handleManualBan,form submit,POST /api/security/rate-limit/ban,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,AdminNotificationAlerts,src/components/admin/AdminNotificationAlerts.tsx:51,useEffect@51,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,AdminNotificationAlerts,src/components/admin/AdminNotificationAlerts.tsx:208,handleDismissAlert,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,AdminNotificationAlerts,src/components/admin/AdminNotificationAlerts.tsx:213,handleDismissAll,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,AdminNotificationAlerts,src/components/admin/AdminNotificationAlerts.tsx:219,handleActionClick,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,AdminNotificationAlerts,src/components/admin/AdminNotificationAlerts.tsx:225,handleSimulateUrgentAlert,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,AdvancedSupplierLedgerModal,src/components/admin/AdvancedSupplierLedgerModal.tsx:105,handleExportCsv,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,AdvancedSupplierLedgerModal,src/components/admin/AdvancedSupplierLedgerModal.tsx:130,handlePrint,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,BusinessDocumentModal,src/components/admin/BusinessDocumentModal.tsx:30,handlePrint,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,BusinessDocumentModal,src/components/admin/BusinessDocumentModal.tsx:34,handleDownloadJson,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,CreateCustomerModal,src/components/admin/CreateCustomerModal.tsx:44,handleSubmit,form submit,POST /api/customers/:x/notes,true,yes,STAFF,yes,yes,yes,yes,yes,yes,n/a
shared-component,Customer360Modal,src/components/admin/Customer360Modal.tsx:77,fetchCustomerDetails,button click,GET /api/customers/:x,true,yes,STAFF,n/a,yes,yes,yes,yes,yes,yes
shared-component,Customer360Modal,src/components/admin/Customer360Modal.tsx:175,useEffect@175,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,Customer360Modal,src/components/admin/Customer360Modal.tsx:182,handleAddNote,form submit,POST /api/customers/:x/notes,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,Customer360Modal,src/components/admin/Customer360Modal.tsx:234,handleToggleTag,button click,POST /api/customers/:x/tags,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,Customer360Modal,src/components/admin/Customer360Modal.tsx:259,handleStatusToggle,button click,PATCH /api/customers/:x/status,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,CustomerQuickMessageModal,src/components/admin/CustomerQuickMessageModal.tsx:31,useEffect@31,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,CustomerQuickMessageModal,src/components/admin/CustomerQuickMessageModal.tsx:70,handleSubmit,form submit,POST /api/customers/:x/quick-communication,true,yes,STAFF,yes,yes,yes,yes,yes,yes,n/a
shared-component,DateRangeFilterBar,src/components/admin/DateRangeFilterBar.tsx:75,handlePresetSelect,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,DateRangeFilterBar,src/components/admin/DateRangeFilterBar.tsx:93,handleYearChange,input change,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,DateRangeFilterBar,src/components/admin/DateRangeFilterBar.tsx:101,handleMonthChange,input change,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,DateRangeFilterBar,src/components/admin/DateRangeFilterBar.tsx:110,handleWeekChange,input change,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,DateRangeFilterBar,src/components/admin/DateRangeFilterBar.tsx:119,handleCustomDateChange,input change,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,DateRangeFilterBar,src/components/admin/DateRangeFilterBar.tsx:128,handleReset,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,DateRangeFilterBar,src/components/admin/DateRangeFilterBar.tsx:139,handleTriggerExcel,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,DateRangeFilterBar,src/components/admin/DateRangeFilterBar.tsx:148,handleTriggerCsv,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,DateWiseDataHubModal,src/components/admin/DateWiseDataHubModal.tsx:181,handleExportDomainExcel,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,DateWiseDataHubModal,src/components/admin/DateWiseDataHubModal.tsx:265,handleExportDomainCsv,prop:onExportCsv (child component),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,DateWiseDataHubModal,src/components/admin/DateWiseDataHubModal.tsx:307,handleFileUpload,input change,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,ManualOrderModal,src/components/admin/ManualOrderModal.tsx:118,handlePhoneChange,input change,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,ManualOrderModal,src/components/admin/ManualOrderModal.tsx:139,handleDistrictChange,input change,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,ManualOrderModal,src/components/admin/ManualOrderModal.tsx:151,handleAddItem,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,ManualOrderModal,src/components/admin/ManualOrderModal.tsx:200,handleRemoveItem,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,ManualOrderModal,src/components/admin/ManualOrderModal.tsx:205,handleUpdateQty,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,ManualOrderModal,src/components/admin/ManualOrderModal.tsx:211,handleUpdateCustomPrice,input change,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,ManualOrderModal,src/components/admin/ManualOrderModal.tsx:260,handleCreateOrder,button click,POST /api/orders/create,true,yes,PUBLIC,yes,yes,yes,yes,yes,yes,n/a
shared-component,OrderCourierDispatchModal,src/components/admin/OrderCourierDispatchModal.tsx:63,useEffect@63,effect(mount/dep),GET /api/courier/config,true,yes,OPEN-READ,n/a,yes,n/a,yes,yes,yes,n/a
shared-component,OrderCourierDispatchModal,src/components/admin/OrderCourierDispatchModal.tsx:75,useEffect@75,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,OrderCourierDispatchModal,src/components/admin/OrderCourierDispatchModal.tsx:116,handleTriggerDispatch,form submit,POST /api/courier/book,true,yes,STAFF,yes,yes,yes,yes,yes,yes,n/a
shared-component,OrderCourierDispatchModal,src/components/admin/OrderCourierDispatchModal.tsx:163,handleCopyTracking,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,OrderLiveTrackingTimeline,src/components/admin/OrderLiveTrackingTimeline.tsx:56,fetchLiveTracking,button click,GET /api/courier/track/:x,true,yes,OPEN-READ,n/a,yes,yes,yes,yes,yes,n/a
shared-component,OrderLiveTrackingTimeline,src/components/admin/OrderLiveTrackingTimeline.tsx:159,useEffect@159,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,OrderLiveTrackingTimeline,src/components/admin/OrderLiveTrackingTimeline.tsx:164,handleSyncStatus,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,OrderLiveTrackingTimeline,src/components/admin/OrderLiveTrackingTimeline.tsx:177,handleShareTrackingWhatsApp,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,ProductEditModal,src/components/admin/ProductEditModal.tsx:63,useEffect@63,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,ProductEditModal,src/components/admin/ProductEditModal.tsx:97,handleSubmit,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,SupplierAgreementsView,src/components/admin/SupplierAgreementsView.tsx:41,loadAgreements,button click,GET /api/suppliers/agreements/all,true,yes,OPEN-READ,n/a,yes,yes,yes,yes,yes,n/a
shared-component,SupplierAgreementsView,src/components/admin/SupplierAgreementsView.tsx:57,useEffect@57,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,SupplierAgreementsView,src/components/admin/SupplierAgreementsView.tsx:61,openCreateModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,SupplierAgreementsView,src/components/admin/SupplierAgreementsView.tsx:77,openEditModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,SupplierAgreementsView,src/components/admin/SupplierAgreementsView.tsx:93,handleSubmit,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,SupplierAgreementsView,src/components/admin/SupplierAgreementsView.tsx:137,handleDelete,button click,DELETE /api/suppliers/agreements/:x,true,yes,STAFF,yes,yes,yes,yes,yes,yes,n/a
shared-component,SupplierSettlementsView,src/components/admin/SupplierSettlementsView.tsx:65,loadData,button click,GET /api/suppliers/settlements/all,true,yes,OPEN-READ,n/a,yes,yes,yes,yes,yes,yes
shared-component,SupplierSettlementsView,src/components/admin/SupplierSettlementsView.tsx:82,useEffect@82,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,SupplierSettlementsView,src/components/admin/SupplierSettlementsView.tsx:87,handleSyncDeliveredOrders,button click,POST /api/suppliers/eligible-sales/sync-delivered,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,SupplierSettlementsView,src/components/admin/SupplierSettlementsView.tsx:109,openCreateModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,SupplierSettlementsView,src/components/admin/SupplierSettlementsView.tsx:128,handleGenerateSettlement,form submit,POST /api/suppliers/:x/settlements,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,SupplierSettlementsView,src/components/admin/SupplierSettlementsView.tsx:159,handleApplyReturnAdjustment,form submit,POST /api/suppliers/eligible-sales/adjust-return,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,SupplierSettlementsView,src/components/admin/SupplierSettlementsView.tsx:190,handleUpdateStatus,button click,PUT /api/suppliers/settlements/:x/status,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,SupplierSettlementsView,src/components/admin/SupplierSettlementsView.tsx:212,openPayModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,SupplierSettlementsView,src/components/admin/SupplierSettlementsView.tsx:225,handleDisbursePayment,form submit,POST /api/suppliers/settlements/:x/pay,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,SupplyBatchesView,src/components/admin/SupplyBatchesView.tsx:43,loadBatches,button click,GET /api/suppliers/batches/all,true,yes,OPEN-READ,n/a,yes,yes,yes,yes,yes,yes
shared-component,SupplyBatchesView,src/components/admin/SupplyBatchesView.tsx:59,useEffect@59,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,SupplyBatchesView,src/components/admin/SupplyBatchesView.tsx:63,openCreateModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,SupplyBatchesView,src/components/admin/SupplyBatchesView.tsx:80,handleProductSelect,input change,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,SupplyBatchesView,src/components/admin/SupplyBatchesView.tsx:90,handleSubmit,form submit,POST /api/suppliers/:x/batches,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
